,recipe1,recipe2,cosine_similarity,recipe1_name,recipe2_name,similarity_rank
0,0,20,0.8376276,low fat berry blue frozen dessert,boston cream pie,1.0
1,0,21,0.8376276,low fat berry blue frozen dessert,boston cream pie,1.0
2,0,139,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
3,0,140,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
4,0,141,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
5,0,142,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
6,0,176,0.80117863,low fat berry blue frozen dessert,carrot maple cheesecake,4.0
7,0,177,0.80117863,low fat berry blue frozen dessert,carrot maple cheesecake,4.0
8,0,187,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
9,0,188,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
10,0,189,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
11,0,190,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
12,0,675,0.8038361,low fat berry blue frozen dessert,london bars,3.0
13,0,676,0.8038361,low fat berry blue frozen dessert,london bars,3.0
14,1,20,0.8376276,low fat berry blue frozen dessert,boston cream pie,1.0
15,1,21,0.8376276,low fat berry blue frozen dessert,boston cream pie,1.0
16,1,139,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
17,1,140,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
18,1,141,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
19,1,142,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
20,1,176,0.80117863,low fat berry blue frozen dessert,carrot maple cheesecake,4.0
21,1,177,0.80117863,low fat berry blue frozen dessert,carrot maple cheesecake,4.0
22,1,187,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
23,1,188,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
24,1,189,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
25,1,190,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
26,1,675,0.8038361,low fat berry blue frozen dessert,london bars,3.0
27,1,676,0.8038361,low fat berry blue frozen dessert,london bars,3.0
28,2,20,0.8376276,low fat berry blue frozen dessert,boston cream pie,1.0
29,2,21,0.8376276,low fat berry blue frozen dessert,boston cream pie,1.0
30,2,139,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
31,2,140,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
32,2,141,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
33,2,142,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
34,2,176,0.80117863,low fat berry blue frozen dessert,carrot maple cheesecake,4.0
35,2,177,0.80117863,low fat berry blue frozen dessert,carrot maple cheesecake,4.0
36,2,187,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
37,2,188,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
38,2,189,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
39,2,190,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
40,2,675,0.8038361,low fat berry blue frozen dessert,london bars,3.0
41,2,676,0.8038361,low fat berry blue frozen dessert,london bars,3.0
42,3,20,0.8376276,low fat berry blue frozen dessert,boston cream pie,1.0
43,3,21,0.8376276,low fat berry blue frozen dessert,boston cream pie,1.0
44,3,139,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
45,3,140,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
46,3,141,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
47,3,142,0.78812575,low fat berry blue frozen dessert,blueberry buttertarts,5.0
48,3,176,0.80117863,low fat berry blue frozen dessert,carrot maple cheesecake,4.0
49,3,177,0.80117863,low fat berry blue frozen dessert,carrot maple cheesecake,4.0
50,3,187,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
51,3,188,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
52,3,189,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
53,3,190,0.8115919,low fat berry blue frozen dessert,blueberry pancake syrup,2.0
54,3,675,0.8038361,low fat berry blue frozen dessert,london bars,3.0
55,3,676,0.8038361,low fat berry blue frozen dessert,london bars,3.0
56,4,120,0.8301655,biryani,brown rice and vegetable pilaf,3.0
57,4,121,0.8301655,biryani,brown rice and vegetable pilaf,3.0
58,4,122,0.8301655,biryani,brown rice and vegetable pilaf,3.0
59,4,123,0.8301655,biryani,brown rice and vegetable pilaf,3.0
60,4,124,0.8301655,biryani,brown rice and vegetable pilaf,3.0
61,4,125,0.8301655,biryani,brown rice and vegetable pilaf,3.0
62,4,139,0.8162759,biryani,blueberry buttertarts,5.0
63,4,140,0.8162759,biryani,blueberry buttertarts,5.0
64,4,141,0.8162759,biryani,blueberry buttertarts,5.0
65,4,142,0.8162759,biryani,blueberry buttertarts,5.0
66,4,152,0.8287264,biryani,chicken and broccoli lasagna,4.0
67,4,153,0.8287264,biryani,chicken and broccoli lasagna,4.0
68,4,154,0.8287264,biryani,chicken and broccoli lasagna,4.0
69,4,155,0.8287264,biryani,chicken and broccoli lasagna,4.0
70,4,156,0.8287264,biryani,chicken and broccoli lasagna,4.0
71,4,157,0.8287264,biryani,chicken and broccoli lasagna,4.0
72,4,158,0.8287264,biryani,chicken and broccoli lasagna,4.0
73,4,727,0.8458258,biryani,greek phyllo seafood rolls,1.0
74,4,728,0.8458258,biryani,greek phyllo seafood rolls,1.0
75,4,729,0.8458258,biryani,greek phyllo seafood rolls,1.0
76,4,730,0.8458258,biryani,greek phyllo seafood rolls,1.0
77,4,731,0.8458258,biryani,greek phyllo seafood rolls,1.0
78,4,732,0.8458258,biryani,greek phyllo seafood rolls,1.0
79,4,792,0.8419266,biryani,bean curd with broccoli,2.0
80,5,20,0.6784708,best lemonade,boston cream pie,5.0
81,5,21,0.6784708,best lemonade,boston cream pie,5.0
82,5,180,0.68811566,best lemonade,caramel apple milkshakes,3.0
83,5,181,0.68811566,best lemonade,caramel apple milkshakes,3.0
84,5,187,0.70286787,best lemonade,blueberry pancake syrup,2.0
85,5,188,0.70286787,best lemonade,blueberry pancake syrup,2.0
86,5,189,0.70286787,best lemonade,blueberry pancake syrup,2.0
87,5,190,0.70286787,best lemonade,blueberry pancake syrup,2.0
88,5,428,0.7035674,best lemonade,civil war cake,1.0
89,5,429,0.7035674,best lemonade,civil war cake,1.0
90,5,524,0.68309087,best lemonade,chocolate tapioca pudding,4.0
91,5,525,0.68309087,best lemonade,chocolate tapioca pudding,4.0
92,5,526,0.68309087,best lemonade,chocolate tapioca pudding,4.0
93,5,527,0.68309087,best lemonade,chocolate tapioca pudding,4.0
94,5,528,0.68309087,best lemonade,chocolate tapioca pudding,4.0
95,5,529,0.68309087,best lemonade,chocolate tapioca pudding,4.0
96,5,530,0.68309087,best lemonade,chocolate tapioca pudding,4.0
97,5,531,0.68309087,best lemonade,chocolate tapioca pudding,4.0
98,6,20,0.6784708,best lemonade,boston cream pie,5.0
99,6,21,0.6784708,best lemonade,boston cream pie,5.0
100,6,180,0.68811566,best lemonade,caramel apple milkshakes,3.0
101,6,181,0.68811566,best lemonade,caramel apple milkshakes,3.0
102,6,187,0.70286787,best lemonade,blueberry pancake syrup,2.0
103,6,188,0.70286787,best lemonade,blueberry pancake syrup,2.0
104,6,189,0.70286787,best lemonade,blueberry pancake syrup,2.0
105,6,190,0.70286787,best lemonade,blueberry pancake syrup,2.0
